fund_id,quarter,fund_name,category,date,nav,fund_return,benchmark_return,regular_expense_ratio,direct_expense_ratio,expense_gap,aum_cr,portfolio_turnover,fund_manager_tenure_years,repo_rate,cpi_inflation,yield_curve_slope,fii_flow_cr,dii_flow_cr
F001,2019Q1,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2019-03-27,101.52916973735798,0.015291697373579938,-0.0032785159883794712,0.0156181017827104,0.0011109587186112,0.0145071430640991,5159.260325861579,0.3738995072508522,6.9430656143020775,5.068309350501551,3.854252259691216,1.1540459650593775,7651.825108548509,3598.4359349728416
F001,2019Q2,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2019-06-25,106.3914374622454,0.04789035247176199,0.060349608366631724,0.0156181017827104,0.0011109587186112,0.0145071430640991,4992.9967331546495,1.6608859477469824,6.9430656143020775,4.972635321521959,4.545834310937665,1.3793819710718351,9158.557846965465,5495.646304618922
F001,2019Q3,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2019-09-23,123.92753343105264,0.16482619642234075,0.1613498477091908,0.0156181017827104,0.0011109587186112,0.0145071430640991,5025.781004461318,1.61696669787836,6.9430656143020775,5.156609978504599,4.821935930816057,2.22188230203663,7918.363296140487,3812.611482284422
F001,2019Q4,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2019-12-22,136.65031816873326,0.10266309984099653,0.12922289400266518,0.0156181017827104,0.0011109587186112,0.0145071430640991,5173.728974682736,1.2578112925938252,6.9430656143020775,5.688913657884849,4.255424010689031,1.671362673188852,6412.282915067242,2837.78501287823
F001,2020Q1,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2020-03-21,145.35254026680786,0.06368241373085759,0.0308887668730482,0.0156181017827104,0.0011109587186112,0.0145071430640991,5516.722990818866,0.6899192330148157,6.9430656143020775,5.404659858273543,4.032210130608076,1.7238542800086574,-1900.3359792336269,11768.599115345674
F001,2020Q2,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2020-06-19,153.05676022588815,0.05300368294175284,0.07620366019971447,0.0156181017827104,0.0011109587186112,0.0145071430640991,5520.733657067785,0.8341066116900633,6.9430656143020775,5.291557290602794,4.556745292823341,1.598260584850735,-376.0955408203109,2941.365330168988
F001,2020Q3,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2020-09-17,156.58826010089106,0.023073138813280547,0.028616319571436177,0.0156181017827104,0.0011109587186112,0.0145071430640991,4921.078056966886,1.126261545192823,6.9430656143020775,5.683236015513495,4.667286070688244,2.220058607724736,21530.685991933038,14666.175248950392
F001,2020Q4,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2020-12-16,151.19144588262537,-0.034464998939182645,-0.02364729034633184,0.0156181017827104,0.0011109587186112,0.0145071430640991,5315.206048747541,0.822368767673772,6.9430656143020775,5.525841833658212,5.068504802434944,1.4799210246778285,3857.7638880843915,9030.091401712958
F001,2021Q1,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2021-03-16,127.16249279131938,-0.15893063890638603,-0.16140804221364957,0.0156181017827104,0.0011109587186112,0.0145071430640991,4928.836826644432,1.4251346395919493,6.9430656143020775,5.610938474473034,4.957032790950613,1.1594741712625596,-14743.765882496702,5084.479964973349
F001,2021Q2,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2021-06-14,125.66660800149026,-0.01176356924902311,0.008150870727303472,0.0156181017827104,0.0011109587186112,0.0145071430640991,5417.911248000486,0.9336036879561577,6.9430656143020775,6.074778815699666,4.901504776179405,1.2769082833926102,2816.163000043231,10536.646519979575
