fund_id,fund_name,category,date,nav,fund_return,benchmark_return,regular_expense_ratio,direct_expense_ratio,expense_gap,aum_cr,portfolio_turnover,fund_manager_tenure_years,repo_rate,cpi_inflation,yield_curve_slope,fii_flow_cr,dii_flow_cr
F001,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2019-02-25,98.4362444120927,-0.015637555879072885,-0.01651288091862204,0.015618101782710437,0.001110958718611275,0.014507143064099162,4853.14867256192,1.865814379342413,6.9430656143020775,5.208614494659737,3.842365377679827,1.0092456744760245,4875.598667088756,5538.32036216386
F001,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2019-03-27,96.97622693475583,-0.014832112765544712,-0.029643641613117208,0.015618101782710437,0.001110958718611275,0.014507143064099162,5515.757484577485,0.6319602779545399,6.9430656143020775,5.03001107232693,4.413382915331379,1.7310517371316354,-735.2869075106933,592.4730436858856
F001,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2019-04-26,96.6160731085204,-0.003713836242337323,0.0046484820022721085,0.015618101782710437,0.001110958718611275,0.014507143064099162,5248.125301822156,0.7149905491680629,6.9430656143020775,5.568917614093358,3.6813840029007054,1.599529847786735,-4127.485983962558,-3139.4035872726326
F001,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2019-05-26,92.1756614720438,-0.045959347069395785,-0.0417621161209687,0.015618101782710437,0.001110958718611275,0.014507143064099162,4403.256950628983,0.5605784915886525,6.9430656143020775,5.313410651978968,3.9832856118842326,1.1998915614206027,-1606.9292082649672,6061.617122496238
F001,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2019-06-25,90.39191391373598,-0.019351611150073802,-0.0176824652673591,0.015618101782710437,0.001110958718611275,0.014507143064099162,4871.8338581163,0.648398051156486,6.9430656143020775,5.003264724288284,3.892911446424431,1.5349010424950094,2064.6572713781215,1656.3804642421464
F001,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2019-07-25,84.13665630280455,-0.06920151748198435,-0.04989389462944242,0.015618101782710437,0.001110958718611275,0.014507143064099162,5170.858408564358,1.0141661935241533,6.9430656143020775,5.395717501387784,4.210428595116889,1.30734320156912,-2818.6227640198736,5713.448935920385
F001,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2019-08-24,93.53633702002895,0.11171920932292961,0.10823625664581947,0.015618101782710437,0.001110958718611275,0.014507143064099162,5114.642597314695,0.7395481285684491,6.9430656143020775,5.092351801547756,5.36071911384523,1.556758672625624,-4111.101977832157,-2783.2829763831014
F001,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2019-09-23,93.98658044040664,0.004813566948653167,0.01176317759858643,0.015618101782710437,0.001110958718611275,0.014507143064099162,5296.510850133089,1.3948551722254656,6.9430656143020775,5.467586412273914,3.3036555392973463,1.8310653372605232,1218.4360574595614,201.8749311386814
F001,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2019-10-23,91.65738718090402,-0.024782189633758084,-0.024986275399629276,0.015618101782710437,0.001110958718611275,0.014507143064099162,5470.3336836101225,0.9959947582453008,6.9430656143020775,5.564769963259108,4.614316535865223,2.293008408072676,1224.832855543614,2015.7310991545496
F001,HDFC Flexi Cap Fund (Sample 1),Mid Cap,2019-11-22,91.93961361788753,0.0030791455622281305,0.020698995536711104,0.015618101782710437,0.001110958718611275,0.014507143064099162,4839.097825763717,1.866105374070869,6.9430656143020775,5.191795739719488,3.498726810167886,0.8810922505865755,-2534.7158768556487,2140.941781294226
